# Official name: Gerd Gletsjer, Foreign name: Gerd Gletsjer, Mouginot/Mankoff name: Se Noname2, Mouginot region: SE, Mankoff discharge gate (2021): 296, closest NSIDC/MEASUREs ID: 223, distance to closest NSIDC/MEASUREs ID: 4973m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,6680823,1434,6682256
2010-02,0,6053339,1434,6054773
2010-03,0,6709589,1434,6711023
2010-04,0,6493151,1434,6494585
2010-05,11171630,6709589,72873,17954092
2010-06,54031027,6493151,501288,61025466
2010-07,84450313,6709589,626382,91786285
2010-08,99452761,6794521,710805,106958086
2010-09,83469469,6575342,633000,90677812
2010-10,11849518,6794521,127082,18771121
2010-11,1886,6584313,1434,6587633
2010-12,6,6824903,1434,6826343
2011-01,0,6850686,1434,6852119
2011-02,0,6206764,1434,6208198
2011-03,0,6879452,1434,6880886
2011-04,0,6657534,1434,6658968
2011-05,41797,6879452,1434,6922683
2011-06,22184203,6657534,280294,29122031
2011-07,96127567,6879452,747345,103754364
2011-08,70923358,6964384,707811,78595552
2011-09,13549590,6739726,131420,20420736
2011-10,17478,6964384,1434,6983295
2011-11,37180,6761433,1434,6800047
2011-12,2491,7026884,1434,7030809
2012-01,5542,7049315,1434,7056291
2012-02,28,6594521,1434,6595983
2012-03,15,7049315,1434,7050764
2012-04,3,6821918,1434,6823354
2012-05,6477156,7049315,4181,13530653
2012-06,51785254,6821918,459131,59066302
2012-07,102958426,7134247,702167,110794840
2012-08,79459816,7134247,832667,87426730
2012-09,10190067,6904110,128448,17222625
2012-10,138123,7134247,1434,7273804
2012-11,5856,6904110,1434,6911400
2012-12,1,7155450,1434,7156885
2013-01,33158,7196747,1434,7231339
2013-02,15107,6520548,1434,6537088
2013-03,46671,7219178,1434,7267283
2013-04,5081,6986301,1434,6992817
2013-05,16714,7219178,1434,7237326
2013-06,27271910,6904110,222787,34398806
2013-07,55953016,7134247,529319,63616581
2013-08,47135397,7134247,338766,54608410
2013-09,4444631,6904110,38559,11387300
2013-10,353257,7134247,1434,7488938
2013-11,242893,6904110,1434,7148437
2013-12,101356,7134247,1434,7237036
2014-01,1329,7134247,1434,7137010
2014-02,1553,6443836,1434,6446823
2014-03,696,7219178,1434,7221308
2014-04,76,6986301,1434,6987811
2014-05,2259692,7219178,1434,9480304
2014-06,49939267,6986301,393451,57319019
2014-07,62910303,7219178,541778,70671258
2014-08,76169751,7219178,517281,83906210
2014-09,24000412,7068493,169814,31238720
2014-10,44095,7304110,1434,7349639
2014-11,15310,7068493,1434,7085237
2014-12,675,7304110,1434,7306219
2015-01,13958,7304110,1434,7319501
2015-02,1124,6750685,1434,6753243
2015-03,9391,7728767,1434,7739592
2015-04,1484,7630011,1434,7632929
2015-05,46258,8026027,1434,8073719
2015-06,24319873,7982248,226862,32528984
2015-07,58758320,8493151,507797,67759268
2015-08,57170577,8747945,375838,66294360
2015-09,26363248,6739726,191447,33294421
2015-10,219147,6284932,1434,6505513
2015-11,15313,6587468,1434,6604215
2015-12,0,7304110,1434,7305543
2016-01,4392,6709589,1434,6715415
2016-02,8994,6964954,1434,6975382
2016-03,17349,8110959,1434,8129742
2016-04,0,7196667,1434,7198101
2016-05,2250200,6794521,1434,9046154
2016-06,66595186,8091171,551134,75237490
2016-07,67803758,9852055,564602,78220415
2016-08,73270869,7516438,451006,81238314
2016-09,18350157,6904110,174988,25429255
2016-10,10495710,5877260,41155,16414125
2016-11,614,4397260,1434,4399308
2016-12,0,4484384,1434,4485817
2017-01,1874,6505753,1434,6509062
2017-02,167401,4564384,1434,4733218
2017-03,55752,5223288,1434,5280474
2017-04,48105,5118355,1434,5167894
2017-05,7562663,5378995,31726,12973384
2017-06,29711274,7315068,381792,37408135
2017-07,65863507,8266667,531285,74661459
2017-08,58811941,7983562,390754,67186257
2017-09,24396843,6164384,186013,30747239
2017-10,712283,9215068,1434,9928785
2017-11,87556,4767123,1434,4856114
2017-12,66846,4650000,1434,4718279
2018-01,0,4314521,1434,4315954
2018-02,0,4200000,1434,4201434
2018-03,0,3652055,1434,3653489
2018-04,7129,5589041,1434,5597604
2018-05,47963,4178630,1434,4228028
2018-06,20747693,4273973,229991,25251657
2018-07,57226719,7502283,580700,65309701
2018-08,70004369,8599315,432717,79036401
2018-09,8548821,4958904,66069,13573795
2018-10,81642,6157534,1434,6240610
2018-11,0,4821918,1434,4823352
2018-12,0,4756164,1434,4757598
2019-01,41836,3100000,1434,3143270
2019-02,2910,3375342,1434,3379686
2019-03,0,5067580,1434,5069014
2019-04,53846,6191781,1434,6247061
2019-05,7973674,4968493,1434,12943601
2019-06,41381461,4493151,441133,46315745
2019-07,85582582,6242466,689567,92514615
2019-08,59644847,6369863,389585,66404295
2019-09,18608053,4972603,105796,23686452
2019-10,5232436,6511416,26431,11770283
2019-11,15239,5054795,1434,5071467
2019-12,108661,6143379,1434,6253474
2020-01,17911,4274886,1434,4294231
2020-02,15599,4171233,1434,4188265
2020-03,4501,3085845,1434,3091780
2020-04,29851,3698630,1434,3729915
2020-05,2272025,4501370,1434,6774829
2020-06,42543519,4150685,349066,47043270
2020-07,59436144,4897717,535442,64869302
2020-08,75960820,5817808,417099,82195728
2020-09,6676076,5753425,37218,12466718
2020-10,1182661,4331507,1434,5515601
2020-11,11117,4821918,1434,4834468
2020-12,24300,4501370,1434,4527104
