# Official name: Ikissuup Sermersua, Foreign name: Cornell Gletsjer, Mouginot/Mankoff name: Cornell Gletscher, Mouginot region: NW, Mankoff discharge gate (2021): 119, closest NSIDC/MEASUREs ID: 32, distance to closest NSIDC/MEASUREs ID: 6610m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,19605001,1149553,20754554
2010-02,0,18526275,1149553,19675828
2010-03,0,21657534,1149553,22807088
2010-04,0,25808219,1149553,26957773
2010-05,9796991,30745205,1217831,41760028
2010-06,116458232,29506849,3174139,149139220
2010-07,150333241,25139726,4363792,179836759
2010-08,135642668,27857534,3920662,167420864
2010-09,4715289,26465753,1197176,32378219
2010-10,205365,26923288,1149773,28278426
2010-11,2969490,25580863,1152881,29703234
2010-12,2908,25928470,1149561,27080939
2011-01,0,25389927,1149553,26539480
2011-02,0,22445454,1149553,23595007
2011-03,0,24375342,1149553,25524896
2011-04,0,23095890,1149553,24245444
2011-05,0,23356164,1149553,24505718
2011-06,57768813,29095890,2121225,88985928
2011-07,210938399,27093151,5425290,243456839
2011-08,83425384,20468493,2818605,106712482
2011-09,1894700,21041096,1154261,24090056
2011-10,0,22846575,1149553,23996129
2011-11,0,23277695,1149553,24427248
2011-12,0,25256416,1149553,26405970
2012-01,0,26498630,1149553,27648184
2012-02,0,25943837,1149553,27093391
2012-03,0,28876712,1149553,30026266
2012-04,0,29095890,1149553,30245444
2012-05,5230222,29980822,1262196,36473240
2012-06,130178519,23753425,4291312,158223255
2012-07,171805231,18430137,6699955,196935322
2012-08,108486188,16136986,3581702,128204876
2012-09,1964592,16602740,1155901,19723233
2012-10,658153,18005479,1149553,19813186
2012-11,0,18246575,1149553,19396129
2012-12,0,18739934,1149553,19889487
2013-01,0,18467999,1149553,19617553
2013-02,0,16416438,1149553,17565992
2013-03,0,17920548,1149553,19070101
2013-04,0,17095890,1149553,18245444
2013-05,0,25734247,1149553,26883800
2013-06,48323757,28438356,1967707,78729820
2013-07,120274255,28452055,3586737,152313046
2013-08,42847897,24715068,1776188,69339154
2013-09,3798283,15945205,1165639,20909127
2013-10,0,17071233,1149553,18220786
2013-11,0,17095890,1149553,18245444
2013-12,0,18260274,1149553,19409827
2014-01,0,18854795,1149553,20004348
2014-02,0,17567123,1149553,18716677
2014-03,0,19958904,1149553,21108458
2014-04,0,18410959,1149553,19560512
2014-05,0,21742466,1149553,22892019
2014-06,65672724,24904110,2280905,92857738
2014-07,137652059,25564384,5110664,168327106
2014-08,103153860,24545205,2753150,130452215
2014-09,705355,16561644,1149857,18416856
2014-10,88149,16646575,1149553,17884278
2014-11,0,17013699,1149553,18163252
2014-12,0,18472603,1149553,19622156
2015-01,0,18939726,1149553,20089279
2015-02,0,17528767,1149553,18678321
2015-03,0,19024658,1149553,20174211
2015-04,0,19450782,1149553,20600336
2015-05,131982,21445205,1149553,22726741
2015-06,56091071,21350581,2141872,79583523
2015-07,169188220,22336986,6064310,197589516
2015-08,41877420,20723288,1804667,64405374
2015-09,3349622,20630137,1162164,25141923
2015-10,0,18600000,1149553,19749553
2015-11,0,17491338,1149553,18640891
2015-12,0,17750685,1149553,18900238
2016-01,0,17326027,1149553,18475581
2016-02,0,16636679,1149553,17786233
2016-03,0,18472603,1149553,19622156
2016-04,0,18368692,1149553,19518246
2016-05,99686,19576712,1149553,20825951
2016-06,40581631,20413623,1816375,62811630
2016-07,155841890,22167123,4995860,183004874
2016-08,103434620,19364384,2728301,125527305
2016-09,342288,18904110,1149694,20396092
2016-10,0,18837808,1149553,19987362
2016-11,0,17342466,1149553,18492019
2016-12,0,19636164,1149553,20785718
2017-01,0,19398356,1149553,20547910
2017-02,0,18717808,1149553,19867362
2017-03,0,20617123,1149553,21766677
2017-04,0,20116971,1149553,21266525
2017-05,549125,20949772,1149553,22648450
2017-06,51148260,20260274,1641969,73050503
2017-07,160085790,21487671,3452959,185026420
2017-08,97851753,22591781,2445577,122889110
2017-09,2302815,22027397,1155114,25485326
2017-10,64465,21572603,1149553,22786622
2017-11,19270,19191781,1149553,20360604
2017-12,0,21381507,1149553,22531060
2018-01,0,21623562,1149553,22773115
2018-02,0,19638356,1149553,20787910
2018-03,0,22727671,1149553,23877225
2018-04,0,22068493,1149553,23218047
2018-05,512695,22591781,1149553,24254029
2018-06,57834386,20876712,1793837,80504935
2018-07,88449690,22789954,2270169,113509813
2018-08,110609150,22315753,3132310,136057214
2018-09,2870838,21561644,1157948,25590430
2018-10,0,22952740,1149553,24102293
2018-11,0,22684932,1149553,23834485
2018-12,0,22846575,1149553,23996129
2019-01,0,24417808,1149553,25567362
2019-02,0,21019178,1149553,22168731
2019-03,0,23752511,1149553,24902065
2019-04,274087,21726027,1149553,23149668
2019-05,31298523,22082192,1293803,54674517
2019-06,106511958,22328767,2591455,131432181
2019-07,210321666,22336986,6105556,238764208
2019-08,89245537,20242009,3050871,112538417
2019-09,9687881,20054795,1206241,30948917
2019-10,398673,20128767,1149553,21676993
2019-11,0,18945205,1149553,20094759
2019-12,0,22053881,1149553,23203435
2020-01,0,22167123,1149553,23316677
2020-02,0,20260274,1149553,21409827
2020-03,0,22421918,1149553,23571471
2020-04,0,21863014,1149553,23012567
2020-05,0,23157991,1149553,24307544
2020-06,30716961,21534247,1703369,53954577
2020-07,127463302,21968950,3763305,153195556
2020-08,64449921,20935616,2394949,87780486
2020-09,344698,19698630,1152644,21195972
2020-10,1733200,22082192,1151872,24967263
2020-11,0,21095890,1149553,22245444
2020-12,0,22973973,1149553,24123526
