# Official name: Nunatakgletsjer, Foreign name: Nunatakgletsjer, Mouginot/Mankoff name: Adolf Hoel, Mouginot region: NE, Mankoff discharge gate (2021): 116, closest NSIDC/MEASUREs ID: 113, distance to closest NSIDC/MEASUREs ID: 4977m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,6709589,19458,6729047
2010-02,0,6060274,19458,6079732
2010-03,0,6709589,19458,6729047
2010-04,0,4931507,19458,4950965
2010-05,822309,6879452,19458,7721220
2010-06,205496584,8301370,125563,213923517
2010-07,545760025,9172603,419186,555351814
2010-08,161545806,7219178,161244,168926228
2010-09,1557090,3945205,19458,5521753
2010-10,0,4501370,19458,4520828
2010-11,0,4780187,19458,4799645
2010-12,0,5363644,19458,5383103
2011-01,0,5800728,19458,5820186
2011-02,0,5631912,19458,5651370
2011-03,0,6624658,19458,6644116
2011-04,0,6821918,19458,6841376
2011-05,0,5520548,19458,5540006
2011-06,138772941,6575342,100303,145448586
2011-07,389916833,8408219,393184,398718236
2011-08,128441134,6964384,144374,135549892
2011-09,48293,3616438,19458,3684190
2011-10,0,4586301,19458,4605760
2011-11,0,5295628,19458,5315087
2011-12,0,6333017,19458,6352475
2012-01,0,7219178,19458,7238636
2012-02,0,7780416,19458,7799874
2012-03,0,8917808,19458,8937266
2012-04,0,6082192,19458,6101650
2012-05,1678297,4926027,19458,6623783
2012-06,351855162,8547945,224721,360627829
2012-07,589321168,7898630,413317,597633115
2012-08,271594879,4331507,211178,276137564
2012-09,0,3780822,19458,3800281
2012-10,0,2802740,19458,2822198
2012-11,0,4109589,19458,4129047
2012-12,0,4671298,19458,4690756
2013-01,0,4933731,19458,4953189
2013-02,0,4679452,19458,4698910
2013-03,0,5435616,19458,5455075
2013-04,0,5178082,19458,5197540
2013-05,36779,4926027,19458,4982265
2013-06,221528556,7397260,193411,229119227
2013-07,359723781,7728767,342418,367794966
2013-08,95706296,5180822,117843,101004961
2013-09,357333,5835616,19458,6212408
2013-10,0,5860274,19458,5879732
2013-11,0,5589041,19458,5608499
2013-12,0,5605479,19458,5624938
2014-01,0,5520548,19458,5540006
2014-02,0,4832877,19458,4852335
2014-03,0,5265753,19458,5285212
2014-04,0,4438356,19458,4457814
2014-05,0,6030137,19458,6049595
2014-06,134520884,6821918,112627,141455429
2014-07,389865303,7898630,314670,398078603
2014-08,155198689,6794521,163403,162156612
2014-09,0,5917808,19458,5937266
2014-10,0,6369863,19458,6389321
2014-11,0,6000000,19458,6019458
2014-12,0,5987671,19458,6007129
2015-01,0,5775342,19458,5794801
2015-02,0,5063014,19458,5082472
2015-03,0,6115068,19458,6134527
2015-04,0,5854649,19458,5874107
2015-05,0,5987671,19458,6007130
2015-06,90567501,6278744,74517,96920761
2015-07,634896194,6964384,408252,642268830
2015-08,128037233,6921918,122040,135081191
2015-09,41716,5424658,19458,5485832
2015-10,4757,6200000,19458,6224215
2015-11,3676,5979086,19458,6002221
2015-12,3171,6115068,19458,6137698
2016-01,0,5605479,19458,5624938
2016-02,0,5182732,19458,5202190
2016-03,0,5520548,19458,5540006
2016-04,0,5435030,19458,5454488
2016-05,0,5817808,19458,5837266
2016-06,90395216,6125294,81526,96602035
2016-07,519526507,6709589,381496,526617592
2016-08,108804915,6412329,126558,115343801
2016-09,71017,5136986,19462,5227466
2016-10,0,5180822,19458,5200280
2016-11,0,4890411,19458,4909869
2016-12,0,5367671,19458,5387129
2017-01,0,5027945,19458,5047403
2017-02,0,4947945,19458,4967403
2017-03,0,5584247,19458,5603705
2017-04,0,5316388,19458,5335846
2017-05,735800,5407306,19458,6162564
2017-06,86485008,6369863,82644,92937514
2017-07,286753932,7417352,240694,294411978
2017-08,145192075,7304110,145601,152641786
2017-09,1909583,6493151,19458,8422192
2017-10,95849,7134247,19458,7249554
2017-11,0,5424658,19458,5444116
2017-12,0,6115068,19458,6134527
2018-01,0,5996164,19458,6015623
2018-02,0,5504110,19458,5523568
2018-03,0,6216986,19458,6236445
2018-04,0,6123288,19458,6142746
2018-05,0,6539726,19458,6559184
2018-06,52575416,6575342,65142,59215900
2018-07,179379150,7275799,160084,186815033
2018-08,129413480,6858219,93551,136365250
2018-09,12084135,5972603,31676,18088413
2018-10,0,6263699,19458,6283157
2018-11,0,5671233,19458,5690691
2018-12,0,5711644,19458,5731102
2019-01,0,5902740,19458,5922198
2019-02,0,5676712,19458,5696171
2019-03,0,7247489,19458,7266947
2019-04,0,6356164,19458,6375623
2019-05,2258255,6879452,19458,9157165
2019-06,370430236,6301370,240795,376972401
2019-07,737860698,6369863,525191,744755753
2019-08,285409193,6001826,200063,291611083
2019-09,1317997,4315068,20569,5653634
2019-10,0,4133333,19458,4152792
2019-11,0,4356164,19458,4375623
2019-12,0,4699543,19458,4719002
2020-01,0,4444749,19458,4464207
2020-02,0,4131507,19458,4150965
2020-03,0,4586301,19458,4605760
2020-04,0,4356164,19458,4375623
2020-05,2325176,5010959,19458,7355594
2020-06,133051535,5506849,87048,138645432
2020-07,432580588,5662100,389037,438631725
2020-08,129508728,5350685,110826,134970238
2020-09,265,4273973,19458,4293696
2020-10,24628,4798630,19458,4842716
2020-11,0,4657534,19458,4676993
2020-12,0,4628767,19458,4648225
