# Official name: Qeqertaarsuusarsuup Sermia, Foreign name: Tracy Gletsjer, Mouginot/Mankoff name: Tracy Gletscher, Mouginot region: NW, Mankoff discharge gate (2021): 39, closest NSIDC/MEASUREs ID: 81, distance to closest NSIDC/MEASUREs ID: 5037m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,197255748,1445393,198701141
2010-02,0,179390623,1445393,180836016
2010-03,0,199843836,1445393,201289229
2010-04,0,194712329,1445393,196157722
2010-05,25164266,202561644,1564502,229290412
2010-06,264792775,197424658,5220641,467438073
2010-07,328450951,203241096,6976445,538668492
2010-08,161449826,202391781,3567805,367409412
2010-09,2101409,195041096,1451086,198593591
2010-10,0,200778082,1445393,202223475
2010-11,0,193498901,1445393,194944294
2010-12,0,199123829,1445393,200569222
2011-01,0,198258737,1445393,199704130
2011-02,0,178289389,1445393,179734782
2011-03,0,196616438,1445393,198061831
2011-04,0,189452055,1445393,190897448
2011-05,10344198,194917808,1445393,206707399
2011-06,269804325,187808219,4220117,461832662
2011-07,613294699,191180822,11514165,815989686
2011-08,213312562,195342466,5403411,414058439
2011-09,89815,192986301,1445393,194521509
2011-10,1,203495890,1445393,204941284
2011-11,20,200941726,1445393,202387139
2011-12,0,211615959,1445393,213061352
2012-01,0,215726027,1445393,217171420
2012-02,0,205672804,1445393,207118197
2012-03,0,223709589,1445393,225154982
2012-04,0,220438356,1445393,221883749
2012-05,19412547,231778082,1615897,252806526
2012-06,325982539,228246575,5942890,560172004
2012-07,642372685,235260274,14542082,892175041
2012-08,208285927,234580822,5671801,448538549
2012-09,7766,226356164,1445393,227809323
2012-10,0,233306849,1445393,234752242
2012-11,0,225287671,1445393,226733064
2012-12,0,233045473,1445393,234490866
2013-01,0,233590408,1445393,235035801
2013-02,0,211419178,1445393,212864571
2013-03,0,234326027,1445393,235771420
2013-04,0,227178082,1445393,228623475
2013-05,510663,227956164,1445393,229912220
2013-06,121306224,220027397,2935059,344268681
2013-07,263689723,258786301,6059198,528535222
2013-08,80912901,249698630,2497458,333108989
2013-09,41114,233424658,1445393,234911164
2013-10,0,242394521,1445393,243839914
2013-11,0,235808219,1445393,237253612
2013-12,0,244857534,1445393,246302927
2014-01,0,246216438,1445393,247661831
2014-02,0,223693151,1445393,225138544
2014-03,0,249019178,1445393,250464571
2014-04,0,236219178,1445393,237664571
2014-05,133548,234665753,1445393,236244695
2014-06,176378073,254136986,3230209,433745269
2014-07,395653705,276706849,8033215,680393769
2014-08,171020834,250463014,3534796,425018643
2014-09,1,257547945,1445393,258993339
2014-10,203549,268298630,1445393,269947572
2014-11,0,268027397,1445393,269472790
2014-12,0,285369863,1445393,286815256
2015-01,0,293395890,1445393,294841283
2015-02,0,258367123,1445393,259812516
2015-03,0,288384932,1445393,289830324
2015-04,0,280343293,1445393,281788686
2015-05,14543644,291230137,1517919,307291700
2015-06,210573626,290857925,4250823,505682374
2015-07,726517276,308258904,18112607,1052888787
2015-08,73868873,299086301,2826131,375781305
2015-09,37559,287013699,1445393,288496651
2015-10,0,300954795,1445393,302400187
2015-11,0,290443735,1445393,291889128
2015-12,0,298024658,1445393,299470050
2016-01,0,290423288,1445393,291868681
2016-02,0,272979361,1445393,274424754
2016-03,0,293056164,1445393,294501557
2016-04,0,281139518,1445393,282584911
2016-05,379832,288087671,1445393,289912897
2016-06,144172472,288289504,3272525,435734501
2016-07,472177861,307239726,10092130,789509716
2016-08,186038685,296198630,3740335,485977650
2016-09,129826,282616438,1445570,284191834
2016-10,0,293693151,1445393,295138544
2016-11,0,289191781,1445393,290637174
2016-12,0,295136986,1445393,296582379
2017-01,0,285216986,1445393,286662379
2017-02,0,259249315,1445393,260694708
2017-03,0,288215068,1445393,289660461
2017-04,0,277529127,1445393,278974519
2017-05,357935,285001826,1445393,286805154
2017-06,89879532,275219178,2328442,367427152
2017-07,295621555,303969863,5333656,604925074
2017-08,173431212,299680822,3411569,476523603
2017-09,87522,283068493,1445393,284601409
2017-10,2044,292504110,1445393,293951547
2017-11,3,287383562,1445393,288828958
2017-12,0,297472603,1445393,298917996
2018-01,0,299944110,1445393,301389503
2018-02,0,264849315,1445393,266294708
2018-03,0,290126027,1445393,291571420
2018-04,0,284095890,1445393,285541283
2018-05,207722,287612055,1445393,289265170
2018-06,83502430,293547945,2070100,379120475
2018-07,108196570,308697717,2640667,419534954
2018-08,133203436,308556164,3011986,444771587
2018-09,17729,294767123,1445393,296230245
2018-10,0,307982877,1445393,309428270
2018-11,0,291589041,1445393,293034434
2018-12,0,295221918,1445393,296667311
2019-01,0,304436986,1445393,305882379
2019-02,0,264926027,1445393,266371420
2019-03,0,285709589,1445393,287154982
2019-04,158039,283123288,1445393,284726720
2019-05,30185619,303035616,1744456,334965691
2019-06,189529858,296712329,3209907,489452094
2019-07,593067002,302526027,11383473,906976503
2019-08,293207986,291343379,6183195,590734560
2019-09,7081752,270493151,1475996,279050899
2019-10,635464,288767123,1445393,290847980
2019-11,6,282739726,1445393,284185125
2019-12,0,290890411,1445393,292335804
2020-01,0,292221005,1445393,293666398
2020-02,0,264893151,1445393,266338544
2020-03,0,296665753,1445393,298111146
2020-04,0,285123288,1445393,286568681
2020-05,1159598,286134247,1445393,288739237
2020-06,181180116,290753425,3229988,475163529
2020-07,520819547,303884932,9140478,833844956
2020-08,131532057,303290411,3404584,438227053
2020-09,16133,283890411,1445393,285351937
2020-10,2,303927397,1445393,305372792
2020-11,1,298821918,1445393,300267312
2020-12,0,318110959,1445393,319556352
