# Official name: Sleipner, Foreign name: Sleipner, Mouginot/Mankoff name: Fimbulgetlscher, Mouginot region: SE, Mankoff discharge gate (2021): 287, closest NSIDC/MEASUREs ID: 189, distance to closest NSIDC/MEASUREs ID: 6032m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,18784,68380846,40158,68439788
2010-02,139,62487158,40158,62527455
2010-03,117,69473973,40158,69514248
2010-04,1,63369863,40158,63410022
2010-05,24561349,77797260,134228,102492837
2010-06,190527971,71671233,3946440,266145644
2010-07,301971745,75758904,6336800,384067448
2010-08,333295235,66246575,5682927,405224738
2010-09,253357352,64684932,4574047,322616330
2010-10,42956272,68030137,543790,111530199
2010-11,8505,67038680,40186,67087370
2010-12,4457,70483608,40610,70528675
2011-01,129801,71740454,40217,71910472
2011-02,17542,65937553,41393,65996489
2011-03,7149,74145205,42568,74194923
2011-04,7017,72986301,41120,73034439
2011-05,9908,76693151,42574,76745632
2011-06,88052791,68712329,1528144,158293264
2011-07,333107008,65482192,6590282,405179481
2011-08,220602006,71257534,3777025,295636566
2011-09,40149059,68054795,423391,108627245
2011-10,89180,70917808,40204,71047192
2011-11,539173,69237379,40196,69816747
2011-12,201402,72158318,40190,72399909
2012-01,4953,72786301,40869,72832123
2012-02,5312,68562825,49537,68617674
2012-03,11853,73975342,40759,74027954
2012-04,4050,74054795,55504,74114349
2012-05,10754959,66501370,45536,77301865
2012-06,188528249,66328767,3120030,257977046
2012-07,367390781,60980822,5720437,434092040
2012-08,268591495,72446575,4656855,345694926
2012-09,27034332,76109589,308042,103451963
2012-10,90278,76523288,40175,76653741
2012-11,16713,72328767,40158,72385638
2012-12,4374,74929420,40588,74974382
2013-01,347336,75355894,40159,75743389
2013-02,23938,68427397,40176,68491511
2013-03,68411,76013699,40158,76122268
2013-04,9140,68794521,40158,68843819
2013-05,11614,82128767,40167,82180548
2013-06,98231007,73232877,952991,172416875
2013-07,226393170,77542466,4561767,308497403
2013-08,151516131,70153425,2985760,224655316
2013-09,15761795,76109589,218548,92089932
2013-10,995429,81109589,40177,82145196
2013-11,616134,80876712,40175,81533021
2013-12,172476,81704110,40173,81916758
2014-01,47212,79835616,40158,79922986
2014-02,37406,70421918,40158,70499482
2014-03,32694,74824658,40158,74897510
2014-04,3038,69041096,40158,69084292
2014-05,3493971,79665753,40158,83199882
2014-06,105653676,77589041,1988526,185231243
2014-07,240065974,76268493,4514922,320849390
2014-08,263651982,76523288,4827004,345002274
2014-09,71076666,74301370,1228299,146606335
2014-10,646267,80430137,63140,81139544
2014-11,144723,72657534,40425,72842682
2014-12,13585,72913699,40216,72967500
2015-01,30025,70705479,64443,70799947
2015-02,45330,62021918,40180,62107428
2015-03,172281,86078082,40183,86290546
2015-04,43900,79322319,40182,79406401
2015-05,141530,78052055,40186,78233771
2015-06,61481604,78418532,957407,140857543
2015-07,211082629,83869863,4263592,299216084
2015-08,181511160,83105479,3208875,267825514
2015-09,93679445,70191781,1733843,165605069
2015-10,880823,79538356,54100,80473279
2015-11,158374,72647887,43299,72849560
2015-12,3883,70705479,40158,70749521
2016-01,534777,70578082,40173,71153032
2016-02,1044852,72469099,40172,73554123
2016-03,431971,83700000,40171,84172142
2016-04,36462,75526174,40159,75602795
2016-05,4112546,72658904,41076,76812526
2016-06,222754042,71543924,4180649,298478615
2016-07,273263475,76608219,5917211,355788905
2016-08,247813555,81661644,4366018,333841216
2016-09,54070469,84082192,657685,138810346
2016-10,20152914,86986849,90456,107230219
2016-11,21601,87246575,54519,87322695
2016-12,2414,81517260,40237,81559912
2017-01,102996,86732055,40890,86875942
2017-02,380548,77882192,42422,78305162
2017-03,82125,88668493,40158,88790776
2017-04,76219,87998412,40158,88114788
2017-05,20291572,93792694,67056,114151322
2017-06,113818170,97684932,1937954,213441056
2017-07,240900016,104862100,3617723,349379840
2017-08,224651231,103658904,3733812,332043947
2017-09,62158972,102082192,906640,165147804
2017-10,695042,104168493,54329,104917864
2017-11,151914,100191781,51906,100395601
2017-12,685660,109370548,40561,110096770
2018-01,999,109391781,40255,109433035
2018-02,2034,97520548,40158,97562740
2018-03,1849,110546849,40158,110588856
2018-04,4335,103643836,40158,103688329
2018-05,5921,105552877,40158,105598956
2018-06,73084300,108657534,883947,182625782
2018-07,252565133,117573516,4667297,374805946
2018-08,235283348,118054795,4057812,357395955
2018-09,25575319,111863014,215817,137654150
2018-10,113430,120496575,44260,120654265
2018-11,101808,116739726,41285,116882819
2018-12,2504,128246575,40389,128289469
2019-01,623935,135975342,40177,136639454
2019-02,10243,116104110,41405,116155757
2019-03,945,125019178,40199,125060322
2019-04,137715,123315068,40158,123492942
2019-05,20833214,138480822,41346,159355382
2019-06,101399774,145068493,2268862,248737129
2019-07,293942974,156613699,5067692,455624364
2019-08,190550422,158850228,3314602,352715252
2019-09,55257761,150945205,544794,206747761
2019-10,6715720,165248402,71379,172035501
2019-11,302646,151643836,45125,151991606
2019-12,335793,159699543,43465,160078801
2020-01,255880,160492237,40169,160788286
2020-02,787682,146430137,40168,147257987
2020-03,208919,155537900,40169,155786987
2020-04,770558,150082192,40168,150892918
2020-05,6289490,157887671,40489,164217650
2020-06,132970204,167958904,1400769,302329877
2020-07,264477942,176997260,5030468,446505671
2020-08,235732776,173090411,3923059,412746246
2020-09,16862306,163835616,254198,180952120
2020-10,502132,166253425,40172,166795729
2020-11,91573,157972603,40168,158104344
2020-12,98525,162516438,40169,162655132
