# Official name: Steensby Gletsjer, Foreign name: Steensby Gletsjer, Mouginot/Mankoff name: Steensby Gletscher, Mouginot region: NO, Mankoff discharge gate (2021): 12, closest NSIDC/MEASUREs ID: 95, distance to closest NSIDC/MEASUREs ID: 7539m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,0,23076295,885467,23961763
2010-02,0,20939489,885467,21824956
2010-03,0,23271233,885467,24156700
2010-04,0,22602740,885467,23488207
2010-05,305566,23526027,885467,24717061
2010-06,203972998,22849315,1516692,228339006
2010-07,598451136,23695890,4800805,626947831
2010-08,96895688,23780822,1150951,121827461
2010-09,0,23095890,885467,23981358
2010-10,0,23950685,885467,24836152
2010-11,0,23274652,885467,24160119
2010-12,0,24155000,885467,25040467
2011-01,0,24265336,885467,25150804
2011-02,0,22013461,885467,22898928
2011-03,0,24460274,885467,25345741
2011-04,0,23753425,885467,24638892
2011-05,0,24630137,885467,25515604
2011-06,216482128,23917808,1347231,241747167
2011-07,561639184,24800000,3253934,589693118
2011-08,168383253,24884932,1826311,195094495
2011-09,0,24164384,885467,25049851
2011-10,0,25139726,885467,26025193
2011-11,0,24427192,885467,25312659
2011-12,0,25316392,885467,26201859
2012-01,0,25394521,885467,26279988
2012-02,0,23838440,885467,24723907
2012-03,0,25564384,885467,26449851
2012-04,0,24821918,885467,25707385
2012-05,6172660,25734247,914104,32821011
2012-06,371083028,25068493,2718634,398870156
2012-07,944715330,25989041,11728501,982432872
2012-08,340003622,26073973,4086749,370164343
2012-09,0,25315068,885467,26200536
2012-10,0,26243836,885467,27129303
2012-11,0,25479452,885467,26364919
2012-12,0,26423780,885467,27309247
2013-01,0,26534641,885467,27420109
2013-02,0,24087671,885467,24973138
2013-03,0,26838356,885467,27723823
2013-04,0,26054795,885467,26940262
2013-05,0,27008219,885467,27893686
2013-06,143497316,26219178,1280057,170996551
2013-07,336917480,27263014,1994313,366174806
2013-08,97662635,27347945,1189240,126199820
2013-09,0,26547945,885467,27433412
2013-10,0,27517808,885467,28403275
2013-11,0,26794521,885467,27679988
2013-12,0,27772603,885467,28658070
2014-01,0,27857534,885467,28743001
2014-02,0,25315068,885467,26200536
2014-03,0,28112329,885467,28997796
2014-04,0,27287671,885467,28173138
2014-05,384650,28282192,885467,29552309
2014-06,213102913,27452055,1646682,242201650
2014-07,461510298,28536986,3928487,493975771
2014-08,208271804,28621918,2102846,238996568
2014-09,0,27698630,885467,28584097
2014-10,0,28112329,885467,28997796
2014-11,0,26876712,885467,27762180
2014-12,0,27390411,885467,28275878
2015-01,0,27008219,885467,27893686
2015-02,0,26005479,885467,26890947
2015-03,0,28961644,885467,29847111
2015-04,0,28203907,885467,29089374
2015-05,0,29386301,885467,30271769
2015-06,250075620,29232232,1554222,280862074
2015-07,1033414342,30830137,10326445,1074570924
2015-08,123410215,30363014,1366807,155140035
2015-09,0,26794521,885467,27679988
2015-10,0,31552055,885467,32437522
2015-11,0,28210475,885467,29095942
2015-12,0,26626027,885467,27511495
2016-01,0,26328767,885467,27214234
2016-02,0,25236840,885467,26122307
2016-03,0,27602740,885467,28488207
2016-04,0,26753187,885467,27638655
2016-05,0,27687671,885467,28573138
2016-06,303431784,27989102,1924004,333344891
2016-07,782604422,30447945,5901523,818953890
2016-08,99587445,31042466,1178090,131808001
2016-09,1363,30657534,885467,31544365
2016-10,0,32019178,885467,32904645
2016-11,0,31356164,885467,32241632
2016-12,0,31509589,885467,32395056
2017-01,0,30745205,885467,31630673
2017-02,0,27769863,885467,28655330
2017-03,0,30108219,885467,30993686
2017-04,0,29330056,885467,30215523
2017-05,0,30631963,885467,31517431
2017-06,158005993,29917808,1284059,189207860
2017-07,444659337,32019178,2864886,479543401
2017-08,140824589,32443836,1457882,174726307
2017-09,0,30164384,885467,31049851
2017-10,0,32868493,885467,33753960
2017-11,0,30904110,885467,31789577
2017-12,0,32082877,885467,32968344
2018-01,0,30762192,885467,31647659
2018-02,0,27846575,885467,28732043
2018-03,0,30524384,885467,31409851
2018-04,0,28356164,885467,29241632
2018-05,13203,30337534,885467,31236204
2018-06,109773878,29506849,1115075,140395802
2018-07,282456855,32330594,1671113,316458561
2018-08,194708205,34078767,1611912,230398884
2018-09,0,32547945,885467,33433412
2018-10,0,32974658,885467,33860125
2018-11,0,31479452,885467,32364919
2018-12,0,30957534,885467,31843001
2019-01,0,31000000,885467,31885467
2019-02,0,27117808,885467,28003275
2019-03,0,29782648,885467,30668116
2019-04,0,28657534,885467,29543001
2019-05,5046426,30363014,885893,36295333
2019-06,371636094,30082192,2824359,404542644
2019-07,831127327,34184932,8145141,873457400
2019-08,358329132,35699543,3693793,397722469
2019-09,328077,34520548,885505,35734131
2019-10,0,34085845,885467,34971312
2019-11,0,32054795,885467,32940262
2019-12,0,32642009,885467,33527476
2020-01,0,31566210,885467,32451677
2020-02,0,28841096,885467,29726563
2020-03,0,31424658,885467,32310125
2020-04,0,29589041,885467,30474508
2020-05,3810819,31452968,885467,36149255
2020-06,294248677,31273973,2042668,327565318
2020-07,662064548,33010046,3175656,698250249
2020-08,177726157,34100000,1952902,213779059
2020-09,0,32986301,885467,33871769
2020-10,0,33972603,885467,34858070
2020-11,0,32821918,885467,33707385
2020-12,0,32995890,885467,33881358
