# Official name: Ullip Sermia, Foreign name: Harald Moltke Brae, Mouginot/Mankoff name: Harald Moltke Brae, Mouginot region: NW, Mankoff discharge gate (2021): 46, closest NSIDC/MEASUREs ID: 75, distance to closest NSIDC/MEASUREs ID: 4847m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,3852,10670776,0,10674629
2010-02,3479,10642018,0,10645497
2010-03,3852,12824658,0,12828510
2010-04,3728,13561644,0,13565372
2010-05,887062,15117808,0,16004870
2010-06,198147051,7479452,0,205626503
2010-07,451862560,10446575,0,462309135
2010-08,364929673,10361644,0,375291317
2010-09,2794034,9945205,0,12739240
2010-10,14197,10191781,0,10205978
2010-11,13508,9790748,0,9804255
2010-12,14457,10051587,0,10066044
2011-01,3678,9986291,0,9989969
2011-02,3322,8958917,0,8962239
2011-03,3678,9852055,0,9855733
2011-04,3560,9452055,0,9455614
2011-05,3677,8917808,0,8921485
2011-06,213286194,9780822,0,223067016
2011-07,804992583,6200000,0,811192583
2011-08,337936004,7983562,0,345919566
2011-09,58182,10520548,0,10578730
2011-10,17882,11380822,0,11398703
2011-11,16830,11579399,0,11596229
2011-12,17433,12560509,0,12577942
2012-01,2489,13164384,0,13166872
2012-02,2165,12848685,0,12850850
2012-03,2315,14268493,0,14270808
2012-04,2240,14383562,0,14385801
2012-05,7462952,4246575,0,11709527
2012-06,234955014,5671233,0,240626247
2012-07,938962405,7983562,0,946945967
2012-08,355592133,5775342,0,361367475
2012-09,9814,5589041,0,5598855
2012-10,2315,5775342,0,5777657
2012-11,2240,5589041,0,5591281
2012-12,2315,6331242,0,6333556
2013-01,805,7596596,0,7597401
2013-02,711,7978082,0,7978793
2013-03,598,9682192,0,9682790
2013-04,306,5013699,0,5014005
2013-05,310,20468493,0,20468803
2013-06,40284623,12575342,0,52859966
2013-07,308289778,25479452,0,333769230
2013-08,146891569,27347945,0,174239514
2013-09,486,17095890,0,17096376
2013-10,239,69898630,0,69898869
2013-11,231,119753425,0,119753656
2013-12,241,175808219,0,175808460
2014-01,5683,229569863,0,229575546
2014-02,1717,255989041,0,255990758
2014-03,1901,332082192,0,332084093
2014-04,1840,277726027,0,277727867
2014-05,1814,311868493,0,311870307
2014-06,82735484,297369863,0,380105347
2014-07,630231335,324098630,0,954329966
2014-08,254360031,26838356,0,281198387
2014-09,2330,96575342,0,96577673
2014-10,2403,68115068,0,68117472
2014-11,2332,100602740,0,100605072
2014-12,2410,139287671,0,139290081
2015-01,3361,174789041,0,174792402
2015-02,3036,188904110,0,188907145
2015-03,3361,241757534,0,241760895
2015-04,3253,232855704,0,232858956
2015-05,12233,237510959,0,237523192
2015-06,127838841,196680251,0,324519092
2015-07,937806882,135805479,0,1073612361
2015-08,113430232,16604110,0,130034341
2015-09,4535,51945205,0,51949740
2015-10,812,31297260,0,31298072
2015-11,786,36348196,0,36348982
2015-12,812,47179452,0,47180264
2016-01,5494,54271233,0,54276727
2016-02,5139,64712686,0,64717825
2016-03,5494,88838356,0,88843850
2016-04,5305,119349162,0,119354466
2016-05,5310,145742466,0,145747776
2016-06,67675021,118888288,0,186563308
2016-07,706252448,85908219,0,792160667
2016-08,253048943,54313699,0,307362641
2016-09,68333,42863014,0,42931347
2016-10,931,35399452,0,35400383
2016-11,394,8301370,0,8301764
2016-12,402,17444932,0,17445333
2017-01,143,29624110,0,29624253
2017-02,129,38873973,0,38874102
2017-03,143,56267123,0,56267266
2017-04,139,68938629,0,68938767
2017-05,137,85044749,0,85044886
2017-06,40318001,94232877,0,134550878
2017-07,426568739,104154338,0,530723077
2017-08,171188728,112067123,0,283255851
2017-09,259193,101506849,0,101766043
2017-10,10889,83657534,0,83668423
2017-11,2373,109684932,0,109687304
2017-12,4691,131261644,0,131266335
2018-01,0,161658630,0,161658630
2018-02,0,171413699,0,171413699
2018-03,12,212226849,0,212226861
2018-04,0,213000000,0,213000000
2018-05,0,227599452,0,227599452
2018-06,63496378,220438356,0,283934734
2018-07,127918527,214253881,0,342172408
2018-08,217988220,140965068,0,358953288
2018-09,10331,114438356,0,114448687
2018-10,0,108563699,0,108563699
2018-11,0,104465753,0,104465753
2018-12,0,95866438,0,95866438
2019-01,0,85143836,0,85143836
2019-02,0,69424658,0,69424658
2019-03,0,66501370,0,66501370
2019-04,188,52465753,0,52465941
2019-05,5823546,43739726,0,49563272
2019-06,162446152,32301370,0,194747522
2019-07,856996350,23058904,0,880055254
2019-08,408765045,13362557,0,422127603
2019-09,12411504,6452055,0,18863559
2019-10,305106,4331507,0,4636613
2019-11,0,1191781,0,1191781
2019-12,0,1160731,0,1160731
2020-01,0,905936,0,905936
2020-02,0,993151,0,993151
2020-03,0,1189041,0,1189041
2020-04,0,1068493,0,1068493
2020-05,0,2151598,0,2151598
2020-06,79801374,2917808,0,82719182
2020-07,625988837,3623744,0,629612582
2020-08,201145682,3354795,0,204500477
2020-09,13694,1863014,0,1876708
2020-10,2804,1061644,0,1064448
2020-11,0,1150685,0,1150685
2020-12,0,636986,0,636986
