# Official name: Unknown, Foreign name: Unknown, Mouginot/Mankoff name: Savissuaq Ww, Mouginot region: NW, Mankoff discharge gate (2021): 48, closest NSIDC/MEASUREs ID: 71, distance to closest NSIDC/MEASUREs ID: 4927m 
# Volume loss values are in m3 
Date_YYYY-MM,Runoff,IceDischarge,BasalMelt,TotalVolumeLoss
2010-01,7,12144965,58527,12203499
2010-02,6,11569895,58527,11628428
2010-03,7,13419178,58527,13477712
2010-04,7,13643836,58527,13702370
2010-05,360068,14778082,58527,15196677
2010-06,76460718,12082192,511045,89053955
2010-07,152905772,13504110,876505,167286387
2010-08,127794308,13928767,804821,142527897
2010-09,2076775,13890411,70387,16037573
2010-10,12,14778082,58527,14836621
2010-11,11,14737423,58527,14795961
2010-12,12,15672354,58527,15730893
2011-01,0,16132084,58527,16190611
2011-02,0,14981222,58527,15039749
2011-03,0,16986301,58527,17044828
2011-04,0,16849315,58527,16907842
2011-05,0,17835616,58527,17894144
2011-06,80330323,17671233,488421,98489977
2011-07,245942188,18090411,1511227,265543827
2011-08,102282930,17920548,678178,120881656
2011-09,27303,17178082,58527,17263913
2011-10,0,16731507,58527,16790034
2011-11,0,15149124,58527,15207651
2011-12,0,14598383,58527,14656910
2012-01,10,13504110,58527,13562647
2012-02,9,11597205,58527,11655742
2012-03,10,11380822,58527,11439359
2012-04,10,10027397,58527,10085934
2012-05,696511,9512329,58527,10267367
2012-06,76014348,16438356,441038,92893742
2012-07,239240209,20383562,1589743,261213514
2012-08,132546446,16561644,836613,149944703
2012-09,132,12328767,58527,12387427
2012-10,10,9002740,58527,9061277
2012-11,10,5671233,58527,5729769
2012-12,10,5647993,58527,5706530
2013-01,0,5548965,58527,5607492
2013-02,0,4909589,58527,4968116
2013-03,0,5265753,58527,5324281
2013-04,0,8054795,58527,8113322
2013-05,0,8832877,58527,8891404
2013-06,16378324,8383562,142740,24904625
2013-07,89051520,11635616,689650,101376787
2013-08,58429412,17665753,376434,76471599
2013-09,1,17671233,58528,17729762
2013-10,0,17665753,58527,17724281
2013-11,0,16438356,58527,16496883
2013-12,0,16391781,58527,16450308
2014-01,0,15797260,58527,15855787
2014-02,0,13731507,58527,13790034
2014-03,0,14608219,58527,14666746
2014-04,0,13561644,58527,13620171
2014-05,0,13419178,58527,13477705
2014-06,26048908,12328767,188395,38566070
2014-07,178331175,10786301,1176737,190294213
2014-08,102525346,8493151,570900,111589397
2014-09,0,7972603,58527,8031130
2014-10,0,7134247,58527,7192774
2014-11,0,7068493,58527,7127020
2014-12,0,7473973,58527,7532500
2015-01,0,8663014,58527,8721541
2015-02,0,8860274,58527,8918801
2015-03,0,12612329,58527,12670856
2015-04,0,13577167,58527,13635694
2015-05,0,14735616,58527,14794144
2015-06,43055544,14526808,242236,57824588
2015-07,269030058,15117808,1746614,285894480
2015-08,48092218,3354795,332733,51779746
2015-09,92240,11671233,58528,11822000
2015-10,0,5520548,58527,5579075
2015-11,0,10557578,58527,10616105
2015-12,0,16391781,58527,16450308
2016-01,0,16816438,58527,16874965
2016-02,0,15773863,58527,15832390
2016-03,0,16901370,58527,16959897
2016-04,0,16753539,58527,16812066
2016-05,0,17665753,58527,17724281
2016-06,38908170,14795328,193411,53896909
2016-07,214235831,10871233,1277649,226384712
2016-08,118957966,5180822,727517,124866305
2016-09,10840,11054795,58531,11124165
2016-10,0,4603288,58527,4661815
2016-11,0,7520548,58527,7579075
2016-12,0,11601644,58527,11660171
2017-01,0,14064658,58527,14123185
2017-02,0,15419178,58527,15477705
2017-03,0,18727397,58527,18785924
2017-04,0,18088536,58527,18147063
2017-05,0,18571689,58527,18630217
2017-06,14437541,9945205,101342,24484089
2017-07,131537547,18175342,848806,150561696
2017-08,65613369,14438356,369538,80421263
2017-09,58248,16438356,58713,16555318
2017-10,0,16731507,58527,16790034
2017-11,0,15123288,58543,15181830
2017-12,0,18154110,58527,18212637
2018-01,0,20043836,58527,20102363
2018-02,0,16550685,58527,16609212
2018-03,0,19024658,58527,19083185
2018-04,0,17753425,58527,17811952
2018-05,0,16731507,58527,16790034
2018-06,30406686,10438356,177555,41022597
2018-07,43042438,13419178,275427,56737043
2018-08,70496257,12357534,441955,83295746
2018-09,10,9205479,58527,9264016
2018-10,0,12272603,58527,12331130
2018-11,0,16273973,58527,16332500
2018-12,0,16349315,58527,16407842
2019-01,0,15202740,58527,15261267
2019-02,0,16838356,58527,16896883
2019-03,0,16873059,58527,16931586
2019-04,0,14986301,58527,15044828
2019-05,1933210,12442466,68331,14444007
2019-06,53247931,7397260,302086,60947278
2019-07,263582555,4373973,1624005,269580533
2019-08,138475603,1585388,847010,140908001
2019-09,7525295,1561644,83014,9169952
2019-10,265993,934247,58533,1258772
2019-11,0,1191781,58527,1250308
2019-12,0,1500457,58527,1558984
2020-01,0,2944292,58527,3002819
2020-02,0,3853425,58527,3911952
2020-03,0,4303196,58527,4361723
2020-04,0,5506849,58527,5565376
2020-05,0,7049315,58527,7107842
2020-06,36283130,3493151,308650,40084930
2020-07,178294244,4359817,1197143,183851205
2020-08,76154766,3142466,517252,79814483
2020-09,14122,1068493,58527,1141142
2020-10,2297,1061644,58527,1122468
2020-11,0,1178082,58527,1236609
2020-12,0,3779452,58527,3837979
